Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits
169438.678,,,s,2.61E-10,5.81E-11,5.81E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
169513.515,,,s,1.94E-10,4.42E-11,4.42E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
169580.712,,,s,2.25E-10,5.23E-11,5.23E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
169640.262,,,s,3.57E-10,8.13E-11,8.13E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
169711.217,,,s,1.77E-10,4.11E-11,4.11E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
169781.705,,,s,3.50E-10,7.93E-11,7.93E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
169836.268,,,s,2.65E-10,5.77E-11,5.77E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
169916.328,,,s,1.99E-10,4.31E-11,4.31E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
169994.826,,,s,2.25E-10,5.01E-11,5.01E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
170079.598,,,s,2.19E-10,4.49E-11,4.49E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
174503.921,,,s,1.70E-10,3.96E-11,3.96E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
174539.65,,,s,1.29E-10,3.07E-11,3.07E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
174577.808,,,s,1.96E-10,4.33E-11,4.33E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
174619.097,,,s,1.16E-10,2.58E-11,2.58E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
174660.527,,,s,1.37E-10,3.11E-11,3.11E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
174694.958,,,s,2.33E-10,4.83E-11,4.83E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
174716.166,,,s,2.41E-10,5.38E-11,5.38E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
174756.411,,,s,1.71E-10,2.83E-11,2.83E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz
183129.323,,,s,0.044877251,0.005786687,0.005786687,mJy,Spectral Flux,4.81E+14,,,Hz
