Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup,Include,,,,,,,,,,,,,,
945.4081,s,3.46E-09,5.17E-10,5.17E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
946.0244,s,4.32E-09,5.34E-10,5.34E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
946.577,s,3.86E-09,5.75E-10,5.75E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
947.1928,s,5.24E-09,6.40E-10,6.40E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
947.7842,s,4.32E-09,5.42E-10,5.42E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
948.3971,s,3.77E-09,5.77E-10,5.77E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
949.0511,s,3.02E-09,4.58E-10,4.58E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
949.6537,s,3.94E-09,5.92E-10,5.92E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
950.2012,s,4.42E-09,5.40E-10,5.40E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
950.857,s,5.07E-09,6.36E-10,6.36E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
951.5462,s,4.01E-09,4.91E-10,4.91E-10,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop,1,,,,,,,,,,,,,,
