Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Model,Frequency,FrequencyLower,FrequencyUpper,FrequencyUnits,,
160.1079,,,seconds,2.61E-09,4.71E-10,4.71E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
160.9782,,,seconds,2.83E-09,5.12E-10,5.12E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
161.923,,,seconds,2.94E-09,5.24E-10,5.24E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
162.8489,,,seconds,2.62E-09,4.78E-10,4.78E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
163.762,,,seconds,2.50E-09,4.58E-10,4.58E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
164.954,,,seconds,2.51E-09,4.51E-10,4.51E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
165.922,,,seconds,2.58E-09,4.75E-10,4.75E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
167.018,,,seconds,2.42E-09,4.49E-10,4.49E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
168.126,,,seconds,2.48E-09,4.54E-10,4.54E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
169,,,seconds,2.48E-09,4.53E-10,4.53E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
169.9534,,,seconds,3.29E-09,6.01E-10,6.01E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
170.7719,,,seconds,2.98E-09,5.50E-10,5.50E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
171.7751,,,seconds,2.69E-09,4.92E-10,4.92E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
172.788,,,seconds,2.25E-09,4.16E-10,4.16E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
173.834,,,seconds,2.57E-09,4.68E-10,4.68E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
174.8117,,,seconds,2.72E-09,4.98E-10,4.98E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
175.8638,,,seconds,2.81E-09,5.19E-10,5.19E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
176.85,,,seconds,2.30E-09,4.27E-10,4.27E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
178.008,,,seconds,2.29E-09,4.20E-10,4.20E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
179.0571,,,seconds,2.74E-09,5.07E-10,5.07E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
180.453,,,seconds,1.72E-09,3.20E-10,3.20E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
181.724,,,seconds,2.57E-09,4.71E-10,4.71E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
182.849,,,seconds,2.45E-09,4.49E-10,4.49E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
183.7689,,,seconds,3.06E-09,5.61E-10,5.61E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
184.815,,,seconds,2.37E-09,4.32E-10,4.32E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
186.074,,,seconds,2.46E-09,4.51E-10,4.51E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
187.135,,,seconds,2.24E-09,4.16E-10,4.16E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
188.344,,,seconds,2.09E-09,3.84E-10,3.84E-10,cgs,Integrated,IntegratedFlux,,7.25E+16,2.42E+18,hz,,
