Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup,Include
3944.684,s,6.43e-08,2.59e-09,2.59e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3957.868,s,6.83e-08,2.73e-09,2.73e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3971.313,s,6.7e-08,2.66e-09,2.66e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
3984.863,s,6.85e-08,2.75e-09,2.75e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4005.307,s,6.92e-08,2.77e-09,2.77e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4012.134,s,6.02e-08,2.46e-09,2.46e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4039.443,s,6.29e-08,2.53e-09,2.53e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4060.247,s,6.48e-08,2.59e-09,2.59e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4080.534,s,6.23e-08,2.52e-09,2.52e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4087.444,s,6.37e-08,2.62e-09,2.62e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4136.092,s,6.74e-08,2.72e-09,2.72e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4143.349,s,5.55e-08,2.24e-09,2.24e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4179.361,s,5.96e-08,2.39e-09,2.39e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4245.361,s,5.91e-08,2.34e-09,2.34e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4266.863,s,6.39e-08,2.55e-09,2.55e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4273.805,s,6.21e-08,2.49e-09,2.49e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4281.207,s,5.73e-08,2.31e-09,2.31e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4296.666,s,5.98e-08,2.4e-09,2.4e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4304.396,s,5.62e-08,2.27e-09,2.27e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4334.727,s,5.8e-08,2.33e-09,2.33e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4341.998,s,5.9e-08,2.37e-09,2.37e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4403.542,s,5.61e-08,2.26e-09,2.26e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4419.209,s,5.9e-08,2.34e-09,2.34e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
4441.237,s,5.99e-08,2.41e-09,2.41e-09,erg cm-2 s-1,Integrated Flux,,7.25e+16,2.42e+18,Hz,xray,,slop,1.0
